Update 164/488, T 337920, FPS 181, 50-training-episode: mean/median 51.8/91.0, min/max -84.6/105.9
Update 165/488, T 339968, FPS 181, 50-training-episode: mean/median 43.5/89.8, min/max -84.6/105.9
Update 166/488, T 342016, FPS 181, 50-training-episode: mean/median 21.8/77.8, min/max -77.4/105.4
Update 167/488, T 344064, FPS 181, 50-training-episode: mean/median 5.7/-57.3, min/max -74.9/106.1
Update 168/488, T 346112, FPS 181, 50-training-episode: mean/median 23.5/79.6, min/max -78.8/108.3
Update 169/488, T 348160, FPS 181, 50-training-episode: mean/median 20.3/81.1, min/max -78.8/108.3
Update 170/488, T 350208, FPS 181, 50-training-episode: mean/median 29.8/87.1, min/max -85.6/107.8
Update 171/488, T 352256, FPS 181, 50-training-episode: mean/median 34.1/88.8, min/max -93.6/107.8
Update 172/488, T 354304, FPS 181, 50-training-episode: mean/median 33.2/87.7, min/max -93.6/107.3
Update 173/488, T 356352, FPS 181, 50-training-episode: mean/median 27.1/86.2, min/max -89.6/107.3
Update 174/488, T 358400, FPS 181, 50-training-episode: mean/median 30.5/88.6, min/max -82.6/108.5
Update 175/488, T 360448, FPS 181, 50-training-episode: mean/median 50.2/93.8, min/max -82.6/108.8
Update 176/488, T 362496, FPS 181, 50-training-episode: mean/median 51.3/95.2, min/max -78.1/108.8
Update 177/488, T 364544, FPS 181, 50-training-episode: mean/median 45.8/95.6, min/max -78.8/109.9
Update 178/488, T 366592, FPS 181, 50-training-episode: mean/median 33.4/86.5, min/max -78.8/109.9
Update 179/488, T 368640, FPS 181, 50-training-episode: mean/median 36.4/87.1, min/max -75.2/109.9
Update 180/488, T 370688, FPS 181, 50-training-episode: mean/median 36.7/89.4, min/max -88.8/106.1
Update 181/488, T 372736, FPS 181, 50-training-episode: mean/median 45.2/89.6, min/max -91.1/107.3
Update 182/488, T 374784, FPS 181, 50-training-episode: mean/median 42.9/90.1, min/max -91.1/109.1
Update 183/488, T 376832, FPS 181, 50-training-episode: mean/median 41.3/87.9, min/max -91.1/109.1
Update 184/488, T 378880, FPS 181, 50-training-episode: mean/median 34.8/88.9, min/max -88.6/109.1
Update 185/488, T 380928, FPS 181, 50-training-episode: mean/median 26.6/87.3, min/max -89.2/106.7
Update 186/488, T 382976, FPS 181, 50-training-episode: mean/median 13.7/79.2, min/max -89.2/106.7
Update 187/488, T 385024, FPS 182, 50-training-episode: mean/median 13.5/79.2, min/max -95.3/107.6
Update 188/488, T 387072, FPS 182, 50-training-episode: mean/median 18.6/80.0, min/max -95.3/107.6
Update 189/488, T 389120, FPS 182, 50-training-episode: mean/median 27.5/88.0, min/max -95.3/108.1
Update 190/488, T 391168, FPS 182, 50-training-episode: mean/median 34.3/87.3, min/max -87.9/108.1
Update 191/488, T 393216, FPS 182, 50-training-episode: mean/median 38.8/91.3, min/max -95.4/108.1
Update 192/488, T 395264, FPS 182, 50-training-episode: mean/median 52.9/95.3, min/max -95.4/108.9
Update 193/488, T 397312, FPS 182, 50-training-episode: mean/median 43.7/94.5, min/max -95.4/108.9
Update 194/488, T 399360, FPS 182, 50-training-episode: mean/median 32.4/86.9, min/max -87.4/107.5
Update 195/488, T 401408, FPS 182, 50-training-episode: mean/median 47.3/91.0, min/max -91.9/106.2
